experiment,pot,rep,isolate,species,isolate_id,germination,length_in,area_in.2,shoot_mg,root_mg,length_cm,area_cm.2
1,1,1,18PR015,Phytophthora sojae,29,8,12.10125,0.361125,69.175,14.8375,30.737175,2.3298340499999997
1,2,1,Control Agar,Control Agar,Control Agar,8,29.985,0.87825,90.0125,34.9625,76.1619,5.6661177
1,3,1,18PR004,Phytophthora sansomeana,18,7,NA,NA,69.44285714285715,28.657142857142855,NA,NA
1,4,1,18PR012,Phytophthora sojae,26,7,9.315714285714284,0.28585714285714287,40.785714285714285,9.9,23.661914285714282,1.8442359428571429
1,5,1,17PR009A.2,Phytophthora sojae,10,6,13.828333333333333,0.4766666666666666,52.666666666666664,20.183333333333334,35.12396666666667,3.0752626666666663
1,6,1,17PR006L.1,Phytophthora sansomeana,8,8,22.91875,0.40756250000000005,50.1,29.9125,58.213625,2.629430225
1,7,1,16PR024C.2,Phytophthora sansomeana,5,7,39.47428571428571,1.1112857142857142,59.01428571428572,36.81428571428571,100.26468571428572,7.169570914285714
1,8,2,18PR015,Phytophthora sojae,29,6,19.721666666666668,0.5528333333333334,46.03333333333333,17.966666666666665,50.09303333333334,3.566659533333334
1,9,1,18PR013,Phytophthora sojae,27,5,26.998,0.8488,66.97999999999999,28.560000000000002,68.57492,5.47611808
1,10,1,18PR016,Phytophthora sojae,30,8,9.8625,0.308625,57.3,13.7125,25.05075,1.99112505
1,11,1,17PR013G.3,Phytophthora sojae,11,8,28.40375,0.857125,51.7375,24.15,72.14552499999999,5.5298276500000005
1,12,1,18PR005,Phytophthora sansomeana,19,8,16.154375,0.4593125,71.775,34.95,41.032112500000004,2.963300525
1,13,1,18PR007,Phytophthora sojae,21,7,25.204285714285714,0.433,34.72857142857143,11.414285714285715,64.01888571428572,2.7935428
1,14,1,18PR001,Phytophthora sojae,16,7,45.08142857142857,1.581,34.214285714285715,12.5,114.50682857142856,10.199979599999999
1,15,1,18PR006,Phytophthora sojae,20,8,28.24125,0.652875,57.8,19.4,71.732775,4.21208835
1,16,1,16PR027C.1,Phytophthora sojae,6,8,24.159374999999997,0.56175,59.2625,23.275,61.36481249999999,3.6241863
1,17,1,Control None,Control None,Control None,7,14.845714285714283,0.7897857142857142,71.81428571428572,26.47142857142857,37.70811428571428,5.095381514285714
1,18,1,16PR018B.1,Phytophthora sansomeana,3,8,15.3225,0.44600000000000006,70.325,32.6375,38.91915,2.8774136000000006
1,19,3,18PR015,Phytophthora sojae,29,8,21.92875,0.69025,47.875,25.425,55.699025000000006,4.4532169
1,20,1,18PR008,Phytophthora sojae,22,6,14.674999999999999,0.44,41.4,11.316666666666668,37.274499999999996,2.838704
1,21,1,16PR009.1,Phytophthora sojae,1,7,5.184285714285714,0.18928571428571428,61.68571428571429,8.128571428571428,13.168085714285715,1.2211957142857142
1,22,1,18PR014,Phytophthora sojae,28,8,23.57,0.3825,44.675,14.775,59.8678,2.467737
1,23,2,18PR014,Phytophthora sojae,28,9,14.794444444444444,0.3423333333333333,53.455555555555556,16.48888888888889,37.577888888888886,2.2085977333333333
1,24,1,16PR024C.1,Phytophthora sansomeana,4,8,33.13625,0.49162500000000003,80.0625,30.6625,84.16607499999999,3.17176785
1,25,2,18PR012,Phytophthora sojae,26,9,16.75888888888889,0.3318888888888889,41.12222222222223,13.577777777777778,42.567577777777785,2.141214355555556
1,26,1,16PR027C.2,Phytophthora sojae,7,8,41.455,0.834125,57.9875,29.3875,105.2957,5.38144085
1,27,1,18PR010,Phytophthora sojae,24,7,21.092857142857145,0.4242857142857143,52.357142857142854,14.985714285714286,53.57585714285715,2.7373217142857147
1,28,1,17PR018J.3,Phytophthora sojae,15,7,15.018571428571429,0.26914285714285713,49.4,16.585714285714285,38.14717142857143,1.7364020571428571
1,29,1,18PR009,Phytophthora sojae,23,8,24.47,0.578625,55.6,18.1125,62.1538,3.7330570499999998
1,30,1,16PR009.2,Phytophthora sojae,2,6,27.361666666666665,0.5271666666666667,56.38333333333333,18.683333333333334,69.49863333333333,3.4010684666666666
1,31,2,18PR016,Phytophthora sojae,30,7,19.641428571428573,0.40985714285714286,61.55714285714286,15.257142857142856,49.889228571428575,2.644234342857143
1,32,2,17PR009A.2,Phytophthora sojae,10,9,23.052222222222223,0.45999999999999996,36.25555555555556,13.755555555555555,58.55264444444445,2.967736
1,33,2,18PR001,Phytophthora sojae,16,7,40.73142857142857,0.8230000000000001,52.357142857142854,25.085714285714285,103.45782857142858,5.3096668000000005
1,34,2,16PR018B.1,Phytophthora sansomeana,3,8,27.27875,0.42674999999999996,64.6375,32.6875,69.288025,2.7532202999999997
1,35,2,18PR005,Phytophthora sansomeana,19,8,31.644374999999997,0.5721875000000001,58.225,30.8625,80.3767125,3.6915248750000003
1,36,2,18PR009,Phytophthora sojae,23,7,11.267142857142858,0.24100000000000002,33.01428571428571,12.942857142857141,28.61854285714286,1.5548356
1,37,2,16PR024C.2,Phytophthora sansomeana,5,8,30.721874999999997,0.55175,99.45,35.525,78.03356249999999,3.5596702999999996
1,38,2,18PR010,Phytophthora sojae,24,7,12.721428571428572,0.2622857142857143,22.02857142857143,10.485714285714286,32.31242857142857,1.6921625142857144
1,39,1,18PR003,Phytophthora sansomeana,17,7,48.34428571428572,0.7868571428571428,76.62857142857142,21.814285714285713,122.79448571428573,5.0764875428571425
1,40,2,16PR009.1,Phytophthora sojae,1,7,50.167142857142856,0.9172857142857144,64.61428571428571,29.957142857142856,127.42454285714285,5.917960514285715
1,41,2,18PR006,Phytophthora sojae,20,8,27.01375,0.56475,70.8375,19.9875,68.614925,3.6435410999999998
1,42,1,17PR018F.2,Phytophthora sojae,13,7,15.659285714285714,0.32157142857142856,59.24285714285714,15.885714285714286,39.77458571428571,2.0746502285714286
1,43,2,17PR006L.1,Phytophthora sansomeana,8,8,60.91,1.092875,57.75,33.275,154.7114,7.05079235
1,44,1,17PR018H.1,Phytophthora sojae,14,7,15.948571428571428,0.352,51.699999999999996,10.014285714285714,40.50937142857143,2.2709631999999997
1,45,2,16PR027C.1,Phytophthora sojae,6,7,48.63285714285714,0.8791428571428571,69.75714285714285,25.071428571428573,123.52745714285714,5.671878057142857
1,46,2,17PR013G.3,Phytophthora sojae,11,8,63.255,1.08275,77.775,33.8875,160.6677,6.985469900000001
1,47,2,17PR018J.3,Phytophthora sojae,15,7,29.34714285714286,0.503,37.300000000000004,16.45714285714286,74.54174285714286,3.2451548
1,48,2,17PR018F.2,Phytophthora sojae,13,9,28.32,0.5491111111111111,41.955555555555556,20.12222222222222,71.9328,3.5426452444444445
1,49,2,18PR003,Phytophthora sansomeana,17,7,32.88928571428571,0.5820714285714285,77.85714285714286,33.214285714285715,83.53878571428571,3.7552920285714277
1,50,2,16PR024C.1,Phytophthora sansomeana,4,8,32.935625,0.652625,62.4875,32.1875,83.65648750000001,4.21047545
1,51,2,Control None,Control None,Control None,8,37.66375,0.954,33.4,30.9,95.665925,6.1548264
