pot,rep,isolate,species,isolate_id
1,1,16PR009.2,Phytophthora sojae,2
2,1,18PR004,Phytophthora sansomeana,18
3,1,16PR018B.1,Phytophthora sansomeana,3
4,1,17PR018F.1,Phytophthora sojae,12
5,2,18PR004,Phytophthora sansomeana,18
6,1,17PR009A.2,Phytophthora sojae,10
7,1,16PR024C.1,Phytophthora sansomeana,4
8,1,18PR003,Phytophthora sansomeana,17
9,2,18PR003,Phytophthora sansomeana,17
10,1,18PR008,Phytophthora sojae,22
11,1,16PR027C.2,Phytophthora sojae,7
12,2,16PR024C.2,Phytophthora sansomeana,5
13,3,18PR003,Phytophthora sansomeana,17
14,1,18PR010,Phytophthora sojae,24
15,1,16PR027C.1,Phytophthora sojae,6
16,1,18PR007,Phytophthora sojae,21
17,2,16PR009.2,Phytophthora sojae,2
18,2,17PR018F.1,Phytophthora sojae,12
19,1,18PR015,Phytophthora sojae,29
20,1,18PR009,Phytophthora sojae,23
21,2,16PR018B.1,Phytophthora sansomeana,3
22,2,17PR018J.3,Phytophthora sojae,15
23,2,18PR012,Phytophthora sojae,26
24,1,18PR017,Phytophthora sojae,31
25,2,18PR007,Phytophthora sojae,21
26,2,16PR009.1,Phytophthora sojae,1
27,2,16PR024C.1,Phytophthora sansomeana,4
28,1,17PR018H.1,Phytophthora sojae,14
29,2,16PR024C.2,Phytophthora sansomeana,5
30,2,18PR012,Phytophthora sojae,26
31,2,18PR015,Phytophthora sojae,29
32,2,17PR018H.1,Phytophthora sojae,14
33,1,18PR013,Phytophthora sojae,27
34,1,17PR006L.1,Phytophthora sansomeana,8
35,1,17PR009A.1,Phytophthora sojae,9
36,1,Control Agar,Control Agar,Control Agar
37,1,17PR018F.2,Phytophthora sojae,13
38,3,18PR012,Phytophthora sojae,26
39,2,17PR009A.2,Phytophthora sojae,10
40,2,17PR018F.2,Phytophthora sojae,13
41,1,18PR016,Phytophthora sojae,30
42,1,18PR014,Phytophthora sojae,28
43,2,17PR018J.3,Phytophthora sojae,15
44,3,18PR015,Phytophthora sojae,29
45,2,18PR017,Phytophthora sojae,31
46,1,17PR013G.3,Phytophthora sojae,11
47,1,18PR006,Phytophthora sojae,20
48,1,Control None,Control None,Control None
49,2,16PR027C.2,Phytophthora sojae,7
50,2,16PR027C.1,Phytophthora sojae,6
51,2,18PR010,Phytophthora sojae,24
52,3,16PR024C.2,Phytophthora sansomeana,5
53,2,18PR008,Phytophthora sojae,22
54,2,18PR013,Phytophthora sojae,27
55,3,16PR009.2,Phytophthora sojae,2
56,2,18PR014,Phytophthora sojae,28
57,1,18PR011,Phytophthora sojae,25
58,2,16PR009.1,Phytophthora sojae,1
59,2,18PR006,Phytophthora sojae,20
60,1,18PR005,Phytophthora sansomeana,19
61,3,17PR018F.1,Phytophthora sojae,12
62,2,18PR011,Phytophthora sojae,25
63,1,18PR001,Phytophthora sojae,16
64,2,17PR006L.1,Phytophthora sansomeana,8
65,3,17PR018J.3,Phytophthora sojae,15
66,3,18PR008,Phytophthora sojae,22
67,3,18PR014,Phytophthora sojae,28
68,2,18PR005,Phytophthora sansomeana,19
69,2,18PR001,Phytophthora sojae,16
70,3,16PR027C.2,Phytophthora sojae,7
71,3,18PR006,Phytophthora sojae,20
72,3,18PR013,Phytophthora sojae,27
73,3,Control Agar,Control Agar,Control Agar
74,3,18PR011,Phytophthora sojae,25
75,3,Control Agar,Control Agar,Control Agar
76,3,17PR018F.2,Phytophthora sojae,13
77,3,18PR017,Phytophthora sojae,31
78,3,16PR024C.1,Phytophthora sansomeana,4
79,2,Control None,Control None,Control None
80,3,16PR009.1,Phytophthora sojae,1
81,3,18PR001,Phytophthora sojae,16
82,2,17PR013G.3,Phytophthora sojae,11
83,3,18PR004,Phytophthora sansomeana,18
84,3,16PR018B.1,Phytophthora sansomeana,3
85,2,18PR016,Phytophthora sojae,30
86,3,18PR016,Phytophthora sojae,30
87,3,17PR013G.3,Phytophthora sojae,11
88,3,16PR027C.1,Phytophthora sojae,6
89,2,17PR009A.1,Phytophthora sojae,9
90,3,17PR018H.1,Phytophthora sojae,14
91,3,17PR006L.1,Phytophthora sansomeana,8
92,3,18PR007,Phytophthora sojae,21
93,3,17PR009A.1,Phytophthora sojae,9
94,3,17PR009A.2,Phytophthora sojae,10
95,3,Control None,Control None,Control None
96,3,18PR005,Phytophthora sansomeana,19
97,3,18PR010,Phytophthora sojae,24
98,2,18PR009,Phytophthora sojae,23
99,3,18PR009,Phytophthora sojae,23
