pot,rep,isolate,species,isolate_id
1,1,18PR017,Phytophthora sojae,31
2,1,16PR024C.1,Phytophthora sansomeana,4
3,1,18PR005,Phytophthora sansomeana,19
4,1,16PR009.1,Phytophthora sojae,1
5,1,18PR008,Phytophthora sojae,22
6,1,18PR014,Phytophthora sojae,28
7,1,17PR006L.1,Phytophthora sansomeana,8
8,1,Control Agar,Control Agar,Control Agar
9,1,18PR010,Phytophthora sojae,24
10,1,18PR001,Phytophthora sojae,16
11,1,16PR024C.2,Phytophthora sansomeana,5
12,2,Control Agar,Control Agar,Control Agar
13,2,18PR005,Phytophthora sansomeana,19
14,1,18PR012,Phytophthora sojae,26
15,1,18PR009,Phytophthora sojae,23
16,1,16PR027C.2,Phytophthora sojae,7
17,1,17PR018F.2,Phytophthora sojae,13
18,1,17PR018H.1,Phytophthora sojae,14
19,1,16PR009.2,Phytophthora sojae,2
20,1,17PR009A.1,Phytophthora sojae,9
21,2,18PR017,Phytophthora sojae,31
22,2,17PR006L.1,Phytophthora sansomeana,8
23,2,18PR008,Phytophthora sojae,22
24,1,17PR013G.3,Phytophthora sojae,11
25,2,16PR009.1,Phytophthora sojae,1
26,2,18PR009,Phytophthora sojae,23
27,1,18PR011,Phytophthora sojae,25
28,2,18PR011,Phytophthora sojae,25
29,1,18PR004,Phytophthora sansomeana,18
30,1,16PR027C.1,Phytophthora sojae,6
31,3,16PR009.1,Phytophthora sojae,1
32,2,17PR018H.1,Phytophthora sojae,14
33,1,17PR009A.2,Phytophthora sojae,10
34,1,18PR015,Phytophthora sojae,29
35,1,18PR006,Phytophthora sojae,20
36,1,17PR018J.3,Phytophthora sojae,15
37,2,17PR009A.1,Phytophthora sojae,9
38,2,18PR014,Phytophthora sojae,28
39,3,17PR006L.1,Phytophthora sansomeana,8
40,1,Control None,Control None,Control None
41,2,18PR015,Phytophthora sojae,29
42,1,17PR018F.1,Phytophthora sojae,12
43,3,17PR009A.1,Phytophthora sojae,9
44,2,16PR027C.2,Phytophthora sojae,7
45,2,18PR004,Phytophthora sansomeana,18
46,2,16PR024C.2,Phytophthora sansomeana,5
47,1,18PR007,Phytophthora sojae,21
48,3,17PR018H.1,Phytophthora sojae,14
49,3,Control Agar,Control Agar,Control Agar
50,2,18PR007,Phytophthora sojae,21
51,3,18PR009,Phytophthora sojae,23
52,2,18PR010,Phytophthora sojae,24
53,3,16PR024C.2,Phytophthora sansomeana,5
54,2,17PR018J.3,Phytophthora sojae,15
55,2,Control None,Control None,Control None
56,3,18PR004,Phytophthora sansomeana,18
57,3,Control None,Control None,Control None
58,2,18PR012,Phytophthora sojae,26
59,1,18PR016,Phytophthora sojae,30
60,1,18PR003,Phytophthora sansomeana,17
61,2,16PR027C.1,Phytophthora sojae,6
62,1,18PR013,Phytophthora sojae,27
63,2,18PR006,Phytophthora sojae,20
64,3,18PR011,Phytophthora sojae,25
65,1,16PR018B.1,Phytophthora sansomeana,3
66,2,16PR018B.1,Phytophthora sansomeana,3
67,3,18PR005,Phytophthora sansomeana,19
68,3,18PR012,Phytophthora sojae,26
69,2,16PR009.2,Phytophthora sojae,2
70,3,16PR018B.1,Phytophthora sansomeana,3
71,2,17PR018F.2,Phytophthora sojae,13
72,3,18PR008,Phytophthora sojae,22
73,3,18PR007,Phytophthora sojae,21
74,2,18PR001,Phytophthora sojae,16
75,2,18PR003,Phytophthora sansomeana,17
76,2,16PR024C.1,Phytophthora sansomeana,4
77,2,17PR018F.1,Phytophthora sojae,12
78,3,16PR027C.1,Phytophthora sojae,6
79,3,18PR014,Phytophthora sojae,28
80,2,18PR016,Phytophthora sojae,30
81,3,18PR010,Phytophthora sojae,24
82,3,18PR001,Phytophthora sojae,16
83,3,17PR018F.2,Phytophthora sojae,13
84,2,18PR013,Phytophthora sojae,27
85,2,17PR013G.3,Phytophthora sojae,11
86,3,18PR003,Phytophthora sansomeana,17
87,3,18PR016,Phytophthora sojae,30
88,3,17PR018J.3,Phytophthora sojae,15
89,3,17PR018F.1,Phytophthora sojae,12
90,3,16PR024C.1,Phytophthora sansomeana,4
91,3,18PR013,Phytophthora sojae,27
92,3,16PR027C.2,Phytophthora sojae,7
93,3,17PR013G.3,Phytophthora sojae,11
94,3,18PR015,Phytophthora sojae,29
95,2,17PR009A.2,Phytophthora sojae,10
96,3,17PR009A.2,Phytophthora sojae,10
97,3,18PR006,Phytophthora sojae,20
98,3,16PR009.2,Phytophthora sojae,2
99,3,18PR017,Phytophthora sojae,31
