date,time,room_temperature,heating_target,cooling_target,outside_temperature,experiment
2019/10/25, 17:45:00,76.8,75,80,57.8,2
2019/10/25, 18:00:00,75.8,75,80,57.3,2
2019/10/25, 18:15:00,75.5,75,80,56.8,2
2019/10/25, 18:30:00,75.6,75,80,56.5,2
2019/10/25, 18:45:00,75.6,75,80,56.2,2
2019/10/25, 19:00:00,75.5,75,80,55.9,2
2019/10/25, 19:15:00,75.5,75,80,55.8,2
2019/10/25, 19:30:00,75.6,75,80,55.5,2
2019/10/25, 19:45:00,75.5,75,80,55.4,2
2019/10/25, 20:00:00,75.3,75,80,55.1,2
2019/10/25, 20:15:00,75.3,75,80,54.9,2
2019/10/25, 20:30:00,75.4,75,80,54.6,2
2019/10/25, 20:45:00,75.3,75,80,54.5,2
2019/10/25, 21:00:00,75.3,75,80,54.3,2
2019/10/25, 21:15:00,75.3,75,80,54,2
2019/10/25, 21:30:00,75.2,75,80,53.8,2
2019/10/25, 21:45:00,74.9,75,80,53.6,2
2019/10/25, 22:00:00,74.8,75,80,53.4,2
2019/10/25, 22:15:00,75,75,80,53.3,2
2019/10/25, 22:30:00,75.1,75,80,53.1,2
2019/10/25, 22:45:00,75.1,75,80,52.7,2
2019/10/25, 23:00:00,74.9,75,80,52.5,2
2019/10/25, 23:15:00,74.9,75,80,52.2,2
2019/10/25, 23:30:00,75.2,75,80,52,2
2019/10/25, 23:45:00,74.9,75,80,51.9,2
2019/10/26, 00:00:00,74.6,75,80,51.8,2
2019/10/26, 00:15:00,75,75,80,51.7,2
2019/10/26, 00:30:00,75,75,80,51.7,2
2019/10/26, 00:45:00,74.7,75,80,51.4,2
2019/10/26, 01:00:00,74.6,75,80,51.3,2
2019/10/26, 01:15:00,74.9,75,80,51.3,2
2019/10/26, 01:30:00,75.1,75,80,51.4,2
2019/10/26, 01:45:00,75.1,75,80,51.4,2
2019/10/26, 02:00:00,75.3,75,80,51.4,2
2019/10/26, 02:15:00,75.3,75,80,51.4,2
2019/10/26, 02:30:00,75.2,75,80,51.4,2
2019/10/26, 02:45:00,75.1,75,80,51.4,2
2019/10/26, 03:00:00,75.2,75,80,51.3,2
2019/10/26, 03:15:00,75.3,75,80,51.3,2
2019/10/26, 03:30:00,75.3,75,80,51.5,2
2019/10/26, 03:45:00,75.2,75,80,51.2,2
2019/10/26, 04:00:00,75.2,75,80,51.1,2
2019/10/26, 04:15:00,75,75,80,51.2,2
2019/10/26, 04:30:00,74.9,75,80,51.3,2
2019/10/26, 04:45:00,75.1,75,80,51.4,2
2019/10/26, 05:00:00,75.3,75,80,51.6,2
2019/10/26, 05:15:00,75.3,75,80,51.7,2
2019/10/26, 05:30:00,75.2,75,80,51.7,2
2019/10/26, 05:45:00,75.2,75,80,51.7,2
2019/10/26, 06:00:00,75.1,75,80,52,2
2019/10/26, 06:15:00,75.1,75,80,51.9,2
2019/10/26, 06:30:00,74.9,75,80,51.9,2
2019/10/26, 06:45:00,74.8,75,80,51.8,2
2019/10/26, 07:00:00,75.4,75,80,51.7,2
2019/10/26, 07:15:00,76.6,75,80,51.5,2
2019/10/26, 07:30:00,76.2,75,80,51.2,2
2019/10/26, 07:45:00,75.9,75,80,50.8,2
2019/10/26, 08:00:00,75.9,75,80,50.8,2
2019/10/26, 08:15:00,75.8,75,80,50.8,2
2019/10/26, 08:30:00,75.5,75,80,50.8,2
2019/10/26, 08:45:00,75.5,75,80,50.8,2
2019/10/26, 09:00:00,75.3,75,80,50.8,2
2019/10/26, 09:15:00,75.1,75,80,50.8,2
2019/10/26, 09:30:00,75.1,75,80,50.8,2
2019/10/26, 09:45:00,74.9,75,80,50.7,2
2019/10/26, 10:00:00,74.9,75,80,50.9,2
2019/10/26, 10:15:00,74.8,75,80,51.1,2
2019/10/26, 10:30:00,74.9,75,80,51.3,2
2019/10/26, 10:45:00,75.1,75,80,51.3,2
2019/10/26, 11:00:00,74.9,75,80,51.4,2
2019/10/26, 11:15:00,75,75,80,51.5,2
2019/10/26, 11:30:00,74.6,75,80,51.7,2
2019/10/26, 11:45:00,74.9,75,80,52.3,2
2019/10/26, 12:00:00,75.1,75,80,52.3,2
2019/10/26, 12:15:00,74.9,75,80,52.1,2
2019/10/26, 12:30:00,74.9,75,80,52.2,2
2019/10/26, 12:45:00,74.9,75,80,52.5,2
2019/10/26, 13:00:00,75,75,80,52.6,2
2019/10/26, 13:15:00,75.1,75,80,52.7,2
2019/10/26, 13:30:00,74.7,75,80,52.9,2
2019/10/26, 13:45:00,74.7,75,80,52.8,2
2019/10/26, 14:00:00,75,75,80,52.6,2
2019/10/26, 14:15:00,74.9,75,80,52.6,2
2019/10/26, 14:30:00,75,75,80,52.5,2
2019/10/26, 14:45:00,75.1,75,80,52.5,2
2019/10/26, 15:00:00,75.1,75,80,52.7,2
2019/10/26, 15:15:00,75,75,80,52.8,2
2019/10/26, 15:30:00,75,75,80,53.1,2
2019/10/26, 15:45:00,75.3,75,80,53.4,2
2019/10/26, 16:00:00,75.4,75,80,53.8,2
2019/10/26, 16:15:00,74.6,75,80,54.3,2
2019/10/26, 16:30:00,75.3,75,80,54.5,2
2019/10/26, 16:45:00,75.7,75,80,55.1,2
2019/10/26, 17:00:00,75.8,75,80,55.6,2
2019/10/26, 17:15:00,75.6,75,80,56,2
2019/10/26, 17:30:00,75.7,75,80,56.2,2
2019/10/26, 17:45:00,75.6,75,80,56.6,2
2019/10/26, 18:00:00,75.7,75,80,56.7,2
2019/10/26, 18:15:00,75.7,75,80,56.3,2
2019/10/26, 18:30:00,75.6,75,80,55.9,2
2019/10/26, 18:45:00,75.4,75,80,55.5,2
2019/10/26, 19:00:00,75.4,75,80,55,2
2019/10/26, 19:15:00,75.3,75,80,54.8,2
2019/10/26, 19:30:00,75.2,75,80,54.5,2
2019/10/26, 19:45:00,75.1,75,80,54.4,2
2019/10/26, 20:00:00,75.1,75,80,55,2
2019/10/26, 20:15:00,75.1,75,80,54.9,2
2019/10/26, 20:30:00,74.8,75,80,54.6,2
2019/10/26, 20:45:00,74.4,75,80,54.9,2
2019/10/26, 21:00:00,74.7,75,80,54.7,2
2019/10/26, 21:15:00,74.8,75,80,53,2
2019/10/26, 21:30:00,74.8,75,80,52.3,2
2019/10/26, 21:45:00,75.4,75,80,51.4,2
2019/10/26, 22:00:00,75.7,75,80,50.5,2
2019/10/26, 22:15:00,75.2,75,80,50.3,2
2019/10/26, 22:30:00,74.7,75,80,50.3,2
2019/10/26, 22:45:00,74.9,75,80,50.3,2
2019/10/26, 23:00:00,75,75,80,50.4,2
2019/10/26, 23:15:00,75.1,75,80,50.1,2
2019/10/26, 23:30:00,75.5,75,80,50,2
2019/10/26, 23:45:00,75.3,75,80,50,2
2019/10/27, 00:00:00,74.7,75,80,49.8,2
2019/10/27, 00:15:00,74.9,75,80,49.7,2
2019/10/27, 00:30:00,75,75,80,49.8,2
2019/10/27, 00:45:00,74.3,75,80,49.9,2
2019/10/27, 01:00:00,74.2,75,80,50,2
2019/10/27, 01:15:00,74.5,75,80,50.1,2
2019/10/27, 01:30:00,75,75,80,50.2,2
2019/10/27, 01:45:00,75.2,75,80,50.5,2
2019/10/27, 02:00:00,75.2,75,80,50.7,2
2019/10/27, 02:15:00,75.3,75,80,51.1,2
2019/10/27, 02:30:00,75.1,75,80,51.2,2
2019/10/27, 02:45:00,74.9,75,80,51.5,2
2019/10/27, 03:00:00,75.1,75,80,51.5,2
2019/10/27, 03:15:00,75.4,75,80,51.7,2
2019/10/27, 03:30:00,75.4,75,80,51.5,2
2019/10/27, 03:45:00,75.2,75,80,51.2,2
2019/10/27, 04:00:00,75,75,80,51.1,2
2019/10/27, 04:15:00,75,75,80,51,2
2019/10/27, 04:30:00,75.2,75,80,51,2
2019/10/27, 04:45:00,75.3,75,80,50.9,2
2019/10/27, 05:00:00,75.2,75,80,51.2,2
2019/10/27, 05:15:00,75.1,75,80,51,2
2019/10/27, 05:30:00,75.2,75,80,51,2
2019/10/27, 05:45:00,75.1,75,80,50.9,2
2019/10/27, 06:00:00,75,75,80,50.3,2
2019/10/27, 06:15:00,75.2,75,80,50.1,2
2019/10/27, 06:30:00,75.3,75,80,49.7,2
2019/10/27, 06:45:00,75.3,75,80,49.6,2
2019/10/27, 07:00:00,75.6,75,80,49.2,2
2019/10/27, 07:15:00,75.6,75,80,48.8,2
2019/10/27, 07:30:00,75.1,75,80,48.6,2
2019/10/27, 07:45:00,75,75,80,48.5,2
2019/10/27, 08:00:00,75.2,75,80,48.3,2
2019/10/27, 08:15:00,75,75,80,48.1,2
2019/10/27, 08:30:00,74.3,75,80,48.3,2
2019/10/27, 08:45:00,74.3,75,80,48.6,2
2019/10/27, 09:00:00,75.2,75,80,49,2
2019/10/27, 09:15:00,76.8,75,80,49.4,2
2019/10/27, 09:30:00,78.7,75,80,50.1,2
2019/10/27, 09:45:00,80.5,75,80,50.9,2
2019/10/27, 10:00:00,82,75,80,51.7,2
2019/10/27, 10:15:00,82.4,75,80,52.6,2
2019/10/27, 10:30:00,82.1,75,80,53.3,2
2019/10/27, 10:45:00,81.2,75,80,54,2
2019/10/27, 11:00:00,80.6,75,80,54.8,2
2019/10/27, 11:15:00,80.1,75,80,55.5,2
2019/10/27, 11:30:00,79.9,75,80,56.1,2
2019/10/27, 11:45:00,80,75,80,56.8,2
2019/10/27, 12:00:00,79.7,75,80,57.6,2
2019/10/27, 12:15:00,79.9,75,80,58.4,2
2019/10/27, 12:30:00,80,75,80,58.9,2
2019/10/27, 12:45:00,80.1,75,80,59.6,2
2019/10/27, 13:00:00,80.1,75,80,60.1,2
2019/10/27, 13:15:00,80.1,75,80,60.8,2
2019/10/27, 13:30:00,80.6,75,80,61.4,2
2019/10/27, 13:45:00,80.5,75,80,61.8,2
2019/10/27, 14:00:00,80.4,75,80,62.3,2
2019/10/27, 14:15:00,79.7,75,80,62.7,2
2019/10/27, 14:30:00,78.7,75,80,63.1,2
2019/10/27, 14:45:00,79.3,75,80,63.5,2
2019/10/27, 15:00:00,79.9,75,80,64,2
2019/10/27, 15:15:00,79.8,75,80,64.1,2
2019/10/27, 15:30:00,79.6,75,80,64.1,2
2019/10/27, 15:45:00,79.6,75,80,64.3,2
2019/10/27, 16:00:00,79.6,75,80,64.5,2
2019/10/27, 16:15:00,79.6,75,80,64.6,2
2019/10/27, 16:30:00,79.5,75,80,64.6,2
2019/10/27, 16:45:00,79.3,75,80,64.4,2
2019/10/27, 17:00:00,79.1,75,80,64.2,2
2019/10/27, 17:15:00,79.3,75,80,63.6,2
2019/10/27, 17:30:00,78.5,75,80,63,2
2019/10/27, 17:45:00,77.8,75,80,62.4,2
2019/10/27, 18:00:00,77.3,75,80,61.8,2
2019/10/27, 18:15:00,76.7,75,80,61.1,2
2019/10/27, 18:30:00,76.5,75,80,60.4,2
2019/10/27, 18:45:00,76.6,75,80,59.9,2
2019/10/27, 19:00:00,76.5,75,80,59.5,2
2019/10/27, 19:15:00,76.5,75,80,59,2
2019/10/27, 19:30:00,76.4,75,80,58.5,2
2019/10/27, 19:45:00,76.3,75,80,58,2
2019/10/27, 20:00:00,76.3,75,80,57.5,2
2019/10/27, 20:15:00,76.1,75,80,56.9,2
2019/10/27, 20:30:00,76.1,75,80,56.5,2
2019/10/27, 20:45:00,75.8,75,80,56.4,2
2019/10/27, 21:00:00,75.8,75,80,56,2
2019/10/27, 21:15:00,75.8,75,80,55.6,2
2019/10/27, 21:30:00,75.6,75,80,55.3,2
2019/10/27, 21:45:00,75.6,75,80,55.1,2
2019/10/27, 22:00:00,75.6,75,80,54.7,2
2019/10/27, 22:15:00,75.5,75,80,54.6,2
2019/10/27, 22:30:00,75.6,75,80,54.3,2
2019/10/27, 22:45:00,75.5,75,80,53.9,2
