experiment,pot,rep,isolate,species,isolate_id,emergence,germination,shoot.mg,root.mg
1,1,1,18PR015,Phytophthora sojae,29,6,8,553.4,118.7
1,2,1,Control Agar,Control Agar,Control Agar,6,8,720.1,279.7
1,3,1,18PR004,Phytophthora sansomeana,18,5,7,486.1,200.6
1,4,1,18PR012,Phytophthora sojae,26,7,7,285.5,69.3
1,5,1,17PR009A.2,Phytophthora sojae,10,6,6,316,121.1
1,6,1,17PR006L.1,Phytophthora sansomeana,8,4,8,400.8,239.3
1,7,1,16PR024C.2,Phytophthora sansomeana,5,5,7,413.1,257.7
1,8,2,18PR015,Phytophthora sojae,29,5,6,276.2,107.8
1,9,1,18PR013,Phytophthora sojae,27,3,5,334.9,142.8
1,10,1,18PR016,Phytophthora sojae,30,4,8,458.4,109.7
1,11,1,17PR013G.3,Phytophthora sojae,11,2,8,413.9,193.2
1,12,1,18PR005,Phytophthora sansomeana,19,6,8,574.2,279.6
1,13,1,18PR007,Phytophthora sojae,21,5,7,243.1,79.9
1,14,1,18PR001,Phytophthora sojae,16,5,7,239.5,87.5
1,15,1,18PR006,Phytophthora sojae,20,5,8,462.4,155.2
1,16,1,16PR027C.1,Phytophthora sojae,6,6,8,474.1,186.2
1,17,1,Control None,Control None,Control None,7,7,502.7,185.3
1,18,1,16PR018B.1,Phytophthora sansomeana,3,4,8,562.6,261.1
1,19,3,18PR015,Phytophthora sojae,29,3,8,383,203.4
1,20,1,18PR008,Phytophthora sojae,22,5,6,248.4,67.9
1,21,1,16PR009.1,Phytophthora sojae,1,7,7,431.8,56.9
1,22,1,18PR014,Phytophthora sojae,28,7,8,357.4,118.2
1,23,2,18PR014,Phytophthora sojae,28,8,9,481.1,148.4
1,24,1,16PR024C.1,Phytophthora sansomeana,4,6,8,640.5,245.3
1,25,2,18PR012,Phytophthora sojae,26,4,9,370.1,122.2
1,26,1,16PR027C.2,Phytophthora sojae,7,3,8,463.9,235.1
1,27,1,18PR010,Phytophthora sojae,24,4,7,366.5,104.9
1,28,1,17PR018J.3,Phytophthora sojae,15,5,7,345.8,116.1
1,29,1,18PR009,Phytophthora sojae,23,3,8,444.8,144.9
1,30,1,16PR009.2,Phytophthora sojae,2,4,6,338.3,112.1
1,31,2,18PR016,Phytophthora sojae,30,5,7,430.9,106.8
1,32,2,17PR009A.2,Phytophthora sojae,10,5,9,326.3,123.8
1,33,2,18PR001,Phytophthora sojae,16,4,7,366.5,175.6
1,34,2,16PR018B.1,Phytophthora sansomeana,3,5,8,517.1,261.5
1,35,2,18PR005,Phytophthora sansomeana,19,8,8,465.8,246.9
1,36,2,18PR009,Phytophthora sojae,23,7,7,231.1,90.6
1,37,2,16PR024C.2,Phytophthora sansomeana,5,5,8,795.6,284.2
1,38,2,18PR010,Phytophthora sojae,24,7,7,154.2,73.4
1,39,1,18PR003,Phytophthora sansomeana,17,7,7,536.4,152.7
1,40,2,16PR009.1,Phytophthora sojae,1,5,7,452.3,209.7
1,41,2,18PR006,Phytophthora sojae,20,7,8,566.7,159.9
1,42,1,17PR018F.2,Phytophthora sojae,13,4,7,414.7,111.2
1,43,2,17PR006L.1,Phytophthora sansomeana,8,4,8,462,266.2
1,44,1,17PR018H.1,Phytophthora sojae,14,7,7,361.9,70.1
1,45,2,16PR027C.1,Phytophthora sojae,6,4,7,488.3,175.5
1,46,2,17PR013G.3,Phytophthora sojae,11,7,8,622.2,271.1
1,47,2,17PR018J.3,Phytophthora sojae,15,5,7,261.1,115.2
1,48,2,17PR018F.2,Phytophthora sojae,13,6,9,377.6,181.1
1,49,2,18PR003,Phytophthora sansomeana,17,4,7,545,232.5
1,50,2,16PR024C.1,Phytophthora sansomeana,4,4,8,499.9,257.5
1,51,2,Control None,Control None,Control None,6,8,267.2,247.2
1,52,1,17PR018F.1,Phytophthora sojae,12,6,6,400.5,184.6
1,53,3,16PR027C.1,Phytophthora sojae,6,5,8,505.6,219.9
1,54,1,18PR011,Phytophthora sojae,25,4,7,428.1,152
1,55,2,18PR004,Phytophthora sansomeana,18,4,7,418.3,240.3
1,56,2,18PR013,Phytophthora sojae,27,5,6,243.8,76.6
1,57,3,17PR018F.2,Phytophthora sojae,13,5,7,372.1,226.1
1,58,3,16PR009.1,Phytophthora sojae,1,5,6,181.8,59.2
1,59,1,18PR017,Phytophthora sojae,31,7,7,327.5,116.5
1,60,2,17PR018H.1,Phytophthora sojae,14,4,4,242.1,109.9
1,61,3,18PR014,Phytophthora sojae,28,6,7,301.2,122.1
1,62,3,18PR013,Phytophthora sojae,27,7,8,172,69.8
1,63,3,18PR010,Phytophthora sojae,24,6,7,288.1,67.6
1,64,2,16PR027C.2,Phytophthora sojae,7,4,7,459.5,211.5
1,65,3,18PR001,Phytophthora sojae,16,4,6,379.9,209.4
1,66,2,16PR009.2,Phytophthora sojae,2,3,7,476.2,173.8
1,67,2,Control Agar,Control Agar,Control Agar,3,5,285.5,149.9
1,68,3,18PR012,Phytophthora sojae,26,7,7,395.2,80.2
1,69,2,18PR008,Phytophthora sojae,22,6,7,293.3,139.7
1,70,3,16PR024C.1,Phytophthora sansomeana,4,4,6,291.8,150.7
1,71,2,18PR017,Phytophthora sojae,31,6,7,224.8,18.8
1,72,3,18PR016,Phytophthora sojae,30,4,6,184.7,80.4
1,73,2,17PR018F.1,Phytophthora sojae,12,4,4,108.8,74.4
1,74,3,Control Agar,Control Agar,Control Agar,5,7,590.3,329.3
1,75,2,18PR007,Phytophthora sojae,21,3,6,564.3,132.5
1,76,3,16PR018B.1,Phytophthora sansomeana,3,5,8,324.4,211.7
1,77,3,17PR018J.3,Phytophthora sojae,15,5,7,302.3,155.5
1,78,2,18PR011,Phytophthora sojae,25,4,5,163.9,74.3
1,79,3,18PR008,Phytophthora sojae,22,2,5,259.5,40.9
1,80,1,17PR009A.1,Phytophthora sojae,9,4,5,395.6,115.3
1,81,3,18PR009,Phytophthora sojae,23,4,6,325.8,22.2
1,82,3,Control None,Control None,Control None,3,8,541.5,170.9
1,83,3,18PR017,Phytophthora sojae,31,6,3,110.8,19.5
1,84,3,16PR024C.2,Phytophthora sansomeana,5,6,8,420.4,179.1
1,85,3,18PR005,Phytophthora sansomeana,19,3,7,360.4,211.3
1,86,3,18PR006,Phytophthora sojae,20,4,9,280.4,130.4
1,87,3,18PR003,Phytophthora sansomeana,17,3,7,487.5,133.3
1,88,3,17PR013G.3,Phytophthora sojae,11,3,4,560.9,52.5
1,89,2,17PR009A.1,Phytophthora sojae,9,6,6,170.1,83.4
1,90,3,16PR009.2,Phytophthora sojae,2,5,4,392.2,78.3
1,91,3,17PR018F.1,Phytophthora sojae,12,5,7,272.3,82.2
1,92,3,16PR027C.2,Phytophthora sojae,7,3,7,203.7,85.6
1,93,3,17PR009A.1,Phytophthora sojae,9,7,3,356.5,8.9
1,94,3,18PR004,Phytophthora sansomeana,18,5,8,396.5,197.9
1,95,3,18PR007,Phytophthora sojae,21,2,5,191.3,75.4
1,96,3,17PR009A.2,Phytophthora sojae,10,5,8,351.1,114.5
1,97,3,18PR011,Phytophthora sojae,25,3,7,297.7,60.2
1,98,3,17PR018H.1,Phytophthora sojae,14,7,6,305.4,89.3
1,99,3,17PR006L.1,Phytophthora sansomeana,8,7,6,344.2,222.4
2,1,1,18PR017,Phytophthora sojae,31,6,7,328.4,86.3
2,2,1,16PR024C.1,Phytophthora sansomeana,4,6,6,613,232.1
2,3,1,18PR005,Phytophthora sansomeana,19,6,7,560.2,260.5
2,4,1,16PR009.1,Phytophthora sojae,1,5,8,331.8,82.3
2,5,1,18PR008,Phytophthora sojae,22,6,7,416.4,113.7
2,6,1,18PR014,Phytophthora sojae,28,6,8,623.9,140
2,7,1,17PR006L.1,Phytophthora sansomeana,8,7,8,603.8,263.9
2,8,1,Control Agar,Control Agar,Control Agar,5,7,624.5,270.6
2,9,1,18PR010,Phytophthora sojae,24,5,7,278.1,57.3
2,10,1,18PR001,Phytophthora sojae,16,8,8,617.4,131
2,11,1,16PR024C.2,Phytophthora sansomeana,5,7,8,727.8,317.3
2,12,2,Control Agar,Control Agar,Control Agar,7,8,818.5,331.6
2,13,2,18PR005,Phytophthora sansomeana,19,5,8,714.1,318.8
2,14,1,18PR012,Phytophthora sojae,26,7,8,560.4,179.8
2,15,1,18PR009,Phytophthora sojae,23,4,6,385.2,71.6
2,16,1,16PR027C.2,Phytophthora sojae,7,7,8,337.8,145.3
2,17,1,17PR018F.2,Phytophthora sojae,13,7,7,417.7,98.8
2,18,1,17PR018H.1,Phytophthora sojae,14,6,6,236.7,87.5
2,19,1,16PR009.2,Phytophthora sojae,2,5,5,188.2,27.3
2,20,1,17PR009A.1,Phytophthora sojae,9,6,7,385.4,101.4
2,21,2,18PR017,Phytophthora sojae,31,6,7,457.8,139.8
2,22,2,17PR006L.1,Phytophthora sansomeana,8,4,5,497.5,227.6
2,23,2,18PR008,Phytophthora sojae,22,5,6,324.7,126.4
2,24,1,17PR013G.3,Phytophthora sojae,11,7,7,712.4,275.4
2,25,2,16PR009.1,Phytophthora sojae,1,5,6,296.6,54.4
2,26,2,18PR009,Phytophthora sojae,23,6,5,235,71.1
2,27,1,18PR011,Phytophthora sojae,25,7,8,449.9,76.3
2,28,2,18PR011,Phytophthora sojae,25,7,8,359.7,121
2,29,1,18PR004,Phytophthora sansomeana,18,8,8,837.3,290.3
2,30,1,16PR027C.1,Phytophthora sojae,6,7,7,354,177.3
2,31,3,16PR009.1,Phytophthora sojae,1,6,6,485.9,120.2
2,32,2,17PR018H.1,Phytophthora sojae,14,6,7,452.5,259
2,33,1,17PR009A.2,Phytophthora sojae,10,8,7,280.5,108.8
2,34,1,18PR015,Phytophthora sojae,29,6,7,253.1,120.4
2,35,1,18PR006,Phytophthora sojae,20,6,7,399.1,158.3
2,36,1,17PR018J.3,Phytophthora sojae,15,7,8,273.6,111
2,37,2,17PR009A.1,Phytophthora sojae,9,5,5,228.1,80.9
2,38,2,18PR014,Phytophthora sojae,28,4,6,137.6,79.4
2,39,3,17PR006L.1,Phytophthora sansomeana,8,6,7,662.1,276.5
2,40,1,Control None,Control None,Control None,6,7,338.4,231.6
2,41,2,18PR015,Phytophthora sojae,29,8,8,470.8,151.6
2,42,1,17PR018F.1,Phytophthora sojae,12,6,7,245.8,105.4
2,43,3,17PR009A.1,Phytophthora sojae,9,8,8,54.5,148.5
2,44,2,16PR027C.2,Phytophthora sojae,7,5,8,208.9,145.6
2,45,2,18PR004,Phytophthora sansomeana,18,6,8,592,231
2,46,2,16PR024C.2,Phytophthora sansomeana,5,6,7,681.4,305.3
2,47,1,18PR007,Phytophthora sojae,21,4,5,244.8,93.9
2,48,3,17PR018H.1,Phytophthora sojae,14,5,6,254.6,86.4
2,49,3,Control Agar,Control Agar,Control Agar,6,8,849.5,307.7
2,50,2,18PR007,Phytophthora sojae,21,7,7,338.7,110.3
2,51,3,18PR009,Phytophthora sojae,23,7,7,231.5,92.4
2,52,2,18PR010,Phytophthora sojae,24,8,8,293.7,69.9
2,53,3,16PR024C.2,Phytophthora sansomeana,5,6,8,605.5,308.4
2,54,2,17PR018J.3,Phytophthora sojae,15,7,8,320.6,137
2,55,2,Control None,Control None,Control None,7,8,608.5,287.5
2,56,3,18PR004,Phytophthora sansomeana,18,5,7,458.3,248.2
2,57,3,Control None,Control None,Control None,5,7,388.4,282.8
2,58,2,18PR012,Phytophthora sojae,26,6,6,295.2,102.3
2,59,1,18PR016,Phytophthora sojae,30,6,8,229.2,101.9
2,60,1,18PR003,Phytophthora sansomeana,17,6,7,630.1,260.2
2,61,2,16PR027C.1,Phytophthora sojae,6,6,7,257.4,160.7
2,62,1,18PR013,Phytophthora sojae,27,6,7,250.3,129.8
2,63,2,18PR006,Phytophthora sojae,20,8,8,328.9,142.9
2,64,3,18PR011,Phytophthora sojae,25,7,7,162.6,92.3
2,65,1,16PR018B.1,Phytophthora sansomeana,3,6,7,713.4,298.7
2,66,2,16PR018B.1,Phytophthora sansomeana,3,7,8,732.5,286.7
2,67,3,18PR005,Phytophthora sansomeana,19,4,5,463.9,210.4
2,68,3,18PR012,Phytophthora sojae,26,6,6,272.5,96.5
2,69,2,16PR009.2,Phytophthora sojae,2,5,5,204.3,37.1
2,70,3,16PR018B.1,Phytophthora sansomeana,3,6,7,593.5,249.8
2,71,2,17PR018F.2,Phytophthora sojae,13,7,7,416.8,139.4
2,72,3,18PR008,Phytophthora sojae,22,5,7,126.6,75.9
2,73,3,18PR007,Phytophthora sojae,21,7,8,331.5,106.4
2,74,2,18PR001,Phytophthora sojae,16,4,5,309.8,125.4
2,75,2,18PR003,Phytophthora sansomeana,17,11,8,615.8,328.9
2,76,2,16PR024C.1,Phytophthora sansomeana,4,5,7,697.3,301
2,77,2,17PR018F.1,Phytophthora sojae,12,8,8,365.4,100.6
2,78,3,16PR027C.1,Phytophthora sojae,6,6,6,468.3,229
2,79,3,18PR014,Phytophthora sojae,28,7,7,497.2,161.4
2,80,2,18PR016,Phytophthora sojae,30,5,7,287.7,106.3
2,81,3,18PR010,Phytophthora sojae,24,7,8,379.5,98.6
2,82,3,18PR001,Phytophthora sojae,16,6,7,465.8,212.2
2,83,3,17PR018F.2,Phytophthora sojae,13,6,8,488.9,181.7
2,84,2,18PR013,Phytophthora sojae,27,6,8,190.5,76.2
2,85,2,17PR013G.3,Phytophthora sojae,11,6,8,569.1,295.5
2,86,3,18PR003,Phytophthora sansomeana,17,5,5,373.9,222.5
2,87,3,18PR016,Phytophthora sojae,30,6,7,246.7,98.2
2,88,3,17PR018J.3,Phytophthora sojae,15,6,6,464.4,180.4
2,89,3,17PR018F.1,Phytophthora sojae,12,5,7,213.4,88.2
2,90,3,16PR024C.1,Phytophthora sansomeana,4,6,7,668.1,271.9
2,91,3,18PR013,Phytophthora sojae,27,6,7,249.1,94
2,92,3,16PR027C.2,Phytophthora sojae,7,4,7,214.3,172.3
2,93,3,17PR013G.3,Phytophthora sojae,11,6,6,414.4,120.2
2,94,3,18PR015,Phytophthora sojae,29,8,8,578.5,265.8
2,95,2,17PR009A.2,Phytophthora sojae,10,7,6,178,73.1
2,96,3,17PR009A.2,Phytophthora sojae,10,5,7,167.3,114.1
2,97,3,18PR006,Phytophthora sojae,20,6,6,182.1,54.6
2,98,3,16PR009.2,Phytophthora sojae,2,6,6,143.6,62.6
2,99,3,18PR017,Phytophthora sojae,31,5,6,200.2,53.4
3,1,1,16PR009.2,Phytophthora sojae,2,NA,8,158.1,33.4
3,2,1,18PR004,Phytophthora sansomeana,18,NA,7,484.2,162.8
3,3,1,16PR018B.1,Phytophthora sansomeana,3,NA,7,425.3,125.5
3,4,1,17PR018F.1,Phytophthora sojae,12,NA,7,152.8,51.4
3,5,2,18PR004,Phytophthora sansomeana,18,NA,8,391.2,140.8
3,6,1,17PR009A.2,Phytophthora sojae,10,NA,1,108.1,34.5
3,7,1,16PR024C.1,Phytophthora sansomeana,4,NA,7,366.9,146.4
3,8,1,18PR003,Phytophthora sansomeana,17,NA,6,530.4,176.2
3,9,2,18PR003,Phytophthora sansomeana,17,NA,3,218.2,55.5
3,10,1,18PR008,Phytophthora sojae,22,NA,7,304.2,60.2
3,11,1,16PR027C.2,Phytophthora sojae,7,NA,8,193.2,49
3,12,2,16PR024C.2,Phytophthora sansomeana,5,NA,6,337.2,107.2
3,13,3,18PR003,Phytophthora sansomeana,17,NA,5,358.2,117.9
3,14,1,18PR010,Phytophthora sojae,24,NA,6,280.2,50.7
3,15,1,16PR027C.1,Phytophthora sojae,6,NA,5,297.2,86.1
3,16,1,18PR007,Phytophthora sojae,21,NA,5,231.1,71.2
3,17,2,16PR009.2,Phytophthora sojae,2,NA,5,193.1,36.9
3,18,2,17PR018F.1,Phytophthora sojae,12,NA,6,267.2,79.8
3,19,1,18PR015,Phytophthora sojae,29,NA,7,178.2,47.1
