experiment,pot,length_in,area_in.2
1,82,178.5,5.711
1,83,14.44,0.419
1,84,176.49,5.31
1,85,191.13,6.031
1,86,98.72,3.834
1,87,157.57,5.3
1,88,67.68,2.745
1,89,53.67,1.318
1,90,108.8,2.574
1,91,95,1.768
1,92,75.85,1.949
1,93,53.03,1.226
1,94,320.38,7.397
1,95,55.79,1.332
1,96,103.9,2.505
1,97,41.53,1.208
1,98,77.75,3.073
1,99,219.87,6.262
2,1,100.8,1.434
2,2,315.38,4.569
2,3,430.28,7.015
2,4,86.49,1.789
2,5,115.94,3.142
2,6,168.45,3.296
2,7,439.45,10.479
2,14,180.15,3.005
2,15,78.7,0.999
2,16,107.95,1.633
2,17,98.99,1.936
2,18,91.4,1.438
2,19,17.53,0.219
2,20,208.41,3.335
2,21,163.43,2.197
2,22,254.63,3.081
2,23,117.64,1.57
2,24,345.47,4.827
2,25,49.99,0.64
2,26,71.48,1.012
2,27,61.23,0.818
2,28,117.94,1.667
2,29,315.92,4.587
2,30,219.36,3.306
2,31,136.8,1.997
2,32,294.68,4.75
2,33,86,1.332
2,34,122.48,1.705
2,35,154.16,2.386
2,36,87.25,1.258
2,37,80.36,1.021
2,38,91.74,1.206
2,39,305.62,4.061
2,40,152.75,1.956
2,41,162.32,2.246
2,42,111.27,1.572
2,43,175.61,2.574
2,44,153,2.104
2,45,346.17,4.681
2,46,394.64,5.489
2,47,79.96,1.166
2,48,56.78,0.779
2,49,391.02,5.514
2,50,113.46,1.626
2,51,82.96,1.048
2,52,59.89,0.807
2,53,369.45,5.415
2,54,117.25,1.722
2,55,347.7,4.73
2,56,225.08,2.915
2,57,239.4,3.378
2,58,111.18,1.566
2,59,93.36,1.282
2,60,295.38,3.865
2,61,217.47,2.784
2,62,126.41,1.708
2,63,154.8,2.312
2,64,90.34,1.098
2,65,362.6,5.158
2,66,381.4,5.087
2,68,115.8,1.451
2,69,29.34,0.365
2,70,283.48,3.934
2,71,146.43,1.97
2,72,58.62,0.727
2,73,103.39,1.455
2,74,137.59,1.782
2,75,359.49,5.778
2,76,283.83,4.07
2,77,81.57,1.251
2,78,254.94,3.759
2,79,138.06,2.002
2,80,79.7,1.122
2,81,122.31,1.523
2,82,247.3,3.47
2,83,170.31,2.424
2,84,79.76,0.939
2,85,341.98,5.095
2,86,210.1,2.72
2,87,113.6,1.402
2,88,235.54,3.111
2,89,86.87,1.189
2,90,300.41,4.283
2,91,70.13,0.941
2,92,147.22,2.007
2,93,118.23,1.622
2,94,294.98,3.95
2,95,49.55,0.627
2,96,62.37,0.777
2,97,44.11,0.564
2,98,65.2,0.784
2,99,64.95,0.865
3,1,24.03,0.608
3,2,185.21,3.974
3,3,160.11,3.483
3,4,21.39,0.494
3,5,144.12,3.66
3,6,26.56,0.513
3,7,140.07,2.865
3,8,188.27,4.364
3,9,65.71,1.404
3,10,39.96,0.787
3,11,31.35,0.682
3,12,94.4,2.284
3,13,147.2,3.255
3,14,85.13,2.029
3,15,86.89,2.062
3,16,56.78,1.42
3,17,22.52,0.48
3,18,64.18,1.418
3,19,25.7,0.49
3,20,13.34,0.34
3,21,100.29,2.306
3,22,8.82,0.225
3,23,30.08,0.771
3,24,7.68,0.198
3,25,58.65,1.236
3,26,8.89,0.226
3,27,134.1,3.655
3,28,41.36,1.054
3,29,136.55,3.171
3,30,45.63,0.948
3,31,47.48,1.536
3,32,63.46,1.356
3,33,27.88,0.607
3,34,158.98,4.003
3,35,36.15,0.927
3,36,213.55,5.049
3,37,98.82,2.253
3,38,49.51,1.042
3,39,12.77,0.296
3,40,30.34,0.745
3,41,36.34,0.771
3,42,13.41,0.353
3,43,26.62,0.736
3,44,72.49,1.751
3,45,11.33,0.306
3,46,70.42,1.702
3,47,66.17,1.274
3,48,141.43,2.937
3,49,42.27,1.155
3,50,58.3,1.255
3,51,13.18,0.343
3,52,112.99,2.41
3,53,30.92,0.664
3,54,20.85,0.543
3,55,22.39,0.56
3,56,44.77,1.062
3,57,39.3,0.913
3,58,10.65,0.25
3,59,44.4,1.245
3,60,155.29,3.852
3,61,39.08,0.885
3,62,27.53,0.6
3,63,33.16,0.785
3,64,106.01,2.2
3,65,41.37,0.84
3,66,30.81,0.746
3,67,58.26,1.213
3,68,167.11,3.3
3,69,23.21,0.63
3,70,46.7,0.944
3,71,17.65,0.363
3,72,12.71,0.348
3,73,116.79,2.685
3,74,12.97,0.26
3,75,200.81,4.445
3,76,16.86,0.299
3,77,18.6,0.329
3,78,99.31,2.021
3,79,109.6,2.13
3,80,13.11,0.324
3,81,31.95,0.751
3,82,60.38,1.383
3,83,56.46,1.565
3,84,153.34,3.617
3,85,29.66,0.617
3,86,12.72,0.315
3,87,56.4,1.32
3,88,21.15,0.403
3,89,29.09,0.579
3,90,28.15,0.591
3,91,149.02,3.296
3,92,10.17,0.198
3,93,25.21,0.491
3,94,26.29,0.529
3,95,129.49,2.972
3,96,126.92,3.76
3,97,15.11,0.319
3,98,11.69,0.265
3,99,11.85,0.271
