experiment,pot,length_in,area_in.2
1,1,96.81,2.889
1,2,239.88,7.026
1,4,65.21,2.001
1,5,82.97,2.86
1,6,223.5,3.994
1,6,143.2,2.527
1,7,276.32,7.779
1,8,118.33,3.317
1,9,134.99,4.244
1,10,78.9,2.469
1,11,227.23,6.857
1,12,176.77,4.885
1,12,81.7,2.464
1,13,176.43,3.031
1,14,315.57,11.067
1,15,225.93,5.223
1,16,240.88,5.003
1,16,145.67,3.985
1,17,145.92,9.36
1,17,61.92,1.697
1,18,160.31,4.557
1,18,84.85,2.579
1,19,175.43,5.522
1,20,88.05,2.64
1,21,36.29,1.325
1,22,188.56,3.06
1,23,133.15,3.081
1,24,308.76,4.251
1,24,221.42,3.615
1,25,150.83,2.987
1,26,331.64,6.673
1,27,147.65,2.97
1,28,105.13,1.884
1,29,195.76,4.629
1,30,164.17,3.163
1,31,137.49,2.869
1,32,207.47,4.14
1,33,285.12,5.761
1,34,245.76,4.023
1,34,190.7,2.805
1,35,279.59,5.118
1,35,226.72,4.037
1,36,78.87,1.687
1,37,292.46,5.285
1,37,199.09,3.543
1,38,89.05,1.836
1,39,338.41,5.508
1,40,351.17,6.421
1,41,216.11,4.518
1,42,203.47,4.205
1,42,15.76,0.297
1,43,487.28,8.743
1,44,111.64,2.464
1,45,340.43,6.154
1,46,506.04,8.662
1,47,205.43,3.521
1,48,254.88,4.942
1,49,421.13,7.387
1,49,39.32,0.762
1,50,412.44,8.323
1,50,114.53,2.119
1,51,301.31,7.632
1,52,326.97,6.545
1,53,385.19,9.11
1,54,120.43,3.982
1,55,427.31,8.528
1,56,86.22,2.141
1,57,388.65,8.443
1,58,67.88,1.623
1,59,118.45,3.188
1,60,172.18,3.674
1,61,131.5,3.596
1,62,91.98,1.964
1,63,136.43,3.518
1,64,374.76,7.907
1,65,366.47,6.897
1,66,344.43,7.324
1,67,154.59,4.537
1,68,116.26,3.721
1,69,147.73,5.294
1,70,200.52,5.637
1,71,198.69,5.538
1,72,97.46,2.849
1,73,51.48,1.487
1,74,225.4,6.897
1,75,108.91,3.919
1,76,233.79,7.071
1,77,266.32,5.97
1,78,32.22,1.121
1,79,58.93,2.03
1,80,71.39,2.319
1,81,31.72,1.275
