year,sample_id,county
2016,16PR0001,Champaign
2016,16PR0002,Champaign
2016,16PR0003,Champaign
2016,16PR0004,Champaign
2016,16PR0005,Champaign
2016,16PR0006,Champaign
2016,16PR0007,Champaign
2016,16PR0008,Champaign
2016,16PR009,Champaign
2016,16PR010,Champaign
2016,16PR023,Grundy
2016,16PR024,Grundy
2016,16PR025,Grundy
2016,16PR012,"IN WISCONSIN, closest to McHenry"
2016,16PR028,Kane
2016,16PR013,Kankakee
2016,16PR014,Kankakee
2016,16PR015,Kankakee
2016,16PR017,Kankakee
2016,16PR018,Kankakee
2016,16PR019,Kankakee
2016,16PR020,Kankakee
2016,16PR021,Kendall
2016,16PR022,Kendall
2016,16PR026,La Salle
2016,16PR027,Livingston
2016,16PR011,McHenry
2016,16PR016,Will County
2017,17PR001,Woodford
2017,17PR002,Woodford
2017,17PR003,Fulton
2017,17PR004,Cass
2017,17PR005,Sangamon
2017,17PR006,Macon
2017,17PR007,Macon
2017,17PR008,Marion
2017,17PR009,Franklin
2017,17PR010,Jackson
2017,17PR011,Edgar
2017,17PR012,Clark
2017,17PR013,Crawford
2017,17PR014,DeKalb
2017,17PR015,DeKalb
2017,17PR016,McHenry
2017,17PR017,Winnebago
2017,17PR018,Boone
2017,17PR019,Warren
2017,17PR020,Pike
2017,17PR021,Douglas
2017,17PR022,Champaign
2018,201800569,Iroquois
2018,201800558,Livingston
2018,201800557,Livingston
2018,201800535,Iroquois
2018,201800533,Hancock
2018,201800524,Cumberland
2018,201800523,Cumberland
2018,201800522,Cumberland
2018,201800521,Cumberland
2018,201800517,Clay
2018,201800502,Iroquois
2018,201800497,Iroquois
2018,201800491,Wayne
2018,201800483,Knox
2018,201800482,Coles
2018,201800481,Coles
2018,201800480,Coles
2018,201800477,Douglas
2018,201800475,Fayette
2018,201800470,Champaign
2018,201800468,Champaign
2018,201800467,Champaign
2018,201800466,Clark
2018,201800465,Clinton
2018,201800458,Unknown
2018,201800457,Unknown
2018,201800454,Massac
2018,201800453,Effingham
2018,201800449,Richland
2018,201800448,Mclean
2018,201800447,Mclean
2018,201800446,Iroquois
2018,201800444,Hamilton
2018,201800443,Jasper
2018,201800442,Jasper
2018,201800424,Vermilion
2018,201800423,Vermilion
2018,201800421,Edgar
2018,201800419,Mclean
2018,201800416,Livingston
2018,201800415,Mclean
2018,201800414,Sangamon
2018,201800413,Sangamon
2018,201800412,Sangamon
2018,201800411,Jasper
2018,201800410,Jasper
2018,201800408,Jasper
2018,201800405,Champaign
2018,201800404,Fayette
2018,201800403,Cumberland
2018,201800401,Ford
2018,201800399,Cumberland
2018,201800398,Jasper
2018,201800393,Champaign
2018,201800392,Champaign
2018,201800391,Iroquois
2018,201800389,Vermilion
2018,201800387,Champaign
2018,201800386,Douglas
2018,201800385,Champaign
2018,201800384,Champaign
2018,201800383,Champaign
2018,201800382,Dewitt
2018,201800381,Dewitt
2018,201800380,Cumberland
2018,201800379,Cumberland
2018,201800378,Cumberland
2018,201800377,Cumberland
2018,201800376,Cumberland
2018,201800373,Mclean
2018,201800372,Tazewell
2018,201800371,Dewitt
2018,201800370,Iroquois
2018,201800367,Iroquois
2018,201800366,Livingston
2018,201800363,Champaign
2018,201800362,Champaign
2018,201800361,Champaign
2018,201800359,Champaign
2018,201800358,Champaign
2018,201800357,Champaign
2018,201800356,Champaign
2018,201800355,Champaign
2018,201800354,Iroquois
2018,201800352,Douglas
2018,201800350,Mclean
2018,201800349,Mclean
2018,201800345,Champaign
2018,201800344,Iroquois
2018,201800343,Iroquois
2018,201800340,Iroquois
2018,201800339,Champaign
2018,201800338,Iroquois
2018,201800334,Livingston
2018,201800526,Cumberland
2018,201800337,Vermilion
