fungicide,isolate,EC50,std_error,lower,upper,model,std.error
azoxystrobin,13,3.4340336503438453,36.78989842340202,-71.50453715079395,78.37260445148165,LL4,NA
ethaboxam,1,0.009224714394679957,0.0014434423274062845,0.006284518588624444,0.012164910200735471,LL4,NA
ethaboxam,5,0.007316498303775162,0.002584376725793328,0.0020522951789444886,0.012580701428605836,LL4,NA
ethaboxam,7,0.010541433696866357,9.127698028524288e-4,0.008682182450532741,0.012400684943199973,LL4,NA
ethaboxam,11,0.02262866042670572,0.0011241150519330546,0.0203389129955379,0.024918407857873543,LL4,NA
ethaboxam,12,0.02125108906809642,0.005227653810165415,0.010602706714104243,0.0318994714220886,LL4,NA
mefenoxam,11,0.045750411422487376,0.0012342976422117346,0.04323304478434116,0.04826777806063359,LL4,NA
mefenoxam,12,0.048159515867928375,0.001374799774040693,0.04535559324266964,0.05096343849318711,LL4,NA
mefenoxam,5,0.06618727204913527,0.004460629020281608,0.05708975918288489,0.07528478491538565,LL4,NA
mefenoxam,2,0.044816882260098924,0.0015139006720391636,0.04172926148296649,0.04790450303723136,LL4,NA
mefenoxam,6,0.044714706970414776,0.0018609504992995976,0.040914139023155174,0.04851527491767438,LL4,NA
mefenoxam,3,0.04747147028066099,0.0010340326869766106,0.04536521462233069,0.04957772593899129,LL4,NA
mefenoxam,1,0.06151618591674363,0.003651126366596305,0.054079084879437286,0.06895328695404998,LL4,NA
mefenoxam,9,0.07766466461041116,0.004366011881854954,0.0687601246702415,0.08656920455058083,LL4,NA
mefenoxam,10,0.10360301551705531,0.0059953629620604,0.09139086079348877,0.11581517024062185,LL4,NA
mefenoxam,15,0.053392581113476625,0.0026811123837372675,0.04793133390147839,0.05885382832547486,LL4,NA
mefenoxam,16,0.04839924119383244,0.0025359861573831144,0.04323360643130551,0.053564875956359365,LL4,NA
mefenoxam,7,0.042507442730056716,0.0041731643183536725,0.03400698518226417,0.05100790027784926,LL4,NA
mefenoxam,14,0.05834862190763567,0.002485047506387208,0.05328674578179319,0.06341049803347816,LL4,NA
metalaxyl,1,0.06341375134654867,0.001982981004758512,0.05937455121850804,0.0674529514745893,LL4,NA
metalaxyl,2,0.04321516018880682,0.001840468366517045,0.039466248805464704,0.046964071572148935,LL4,NA
metalaxyl,3,0.04741985800840931,0.0011850341200967192,0.0450060224960464,0.04983369352077222,LL4,NA
metalaxyl,4,0.04432576723651808,0.0020877825667324113,0.040073093312446115,0.04857844116059004,LL4,NA
metalaxyl,7,0.062120390123189616,0.002347907054774095,0.05733785995597506,0.06690292029040418,LL4,NA
metalaxyl,11,0.0446440879677354,0.0016506555102047556,0.041281812720433186,0.04800636321503761,LL4,NA
metalaxyl,12,0.04437764922537196,0.0012576788318183797,0.04181584127747716,0.046939457173266766,LL4,NA
metalaxyl,14,0.053447525314217294,0.0014590800007299328,0.0504754766099547,0.056419574018479884,LL4,NA
metalaxyl,15,0.05409066896735138,0.001303908661033028,0.05143469393886679,0.05674664399583597,LL4,NA
azoxystrobin,13,2.034426184111125,NA,0.6453290842541761,3.4235232839680734,BC4,0.6819551087996404
mefenoxam,12,0.050071483070527376,NA,0.04625216177011554,0.05389080437093921,BC4,0.0017807464592759547
mefenoxam,5,0.06324222014965696,NA,0.05733121755170159,0.06915322274761232,BC4,0.0028982415430501046
mefenoxam,2,0.04269137330339056,NA,0.038344342600675464,0.04703840400610566,BC4,0.0021314057577780697
mefenoxam,6,0.05000260222048077,NA,0.045616834321421273,0.05438837011954027,BC4,0.0020448503917735897
mefenoxam,3,0.04677633368778927,NA,0.040878816332454194,0.05267385104312435,BC4,0.002749698787556581
mefenoxam,1,0.060741407325036675,NA,0.056079023335507704,0.06540379131456565,BC4,0.0022889232013891363
mefenoxam,10,0.09910538915449903,NA,0.09102235784495302,0.10718842046404503,BC4,0.003968235551496007
mefenoxam,15,0.05170665701568308,NA,0.0456516459913008,0.05776166804006536,BC4,0.002972611275583884
mefenoxam,16,0.04672929308428927,NA,0.041769978382205,0.05168860778637353,BC4,0.002434696608019569
mefenoxam,7,0.03173637377363402,NA,0.022126471636616678,0.04134627591065137,BC4,0.004480586433677843
mefenoxam,14,0.05677425832305951,NA,0.05270543071341619,0.06084308593270283,BC4,0.0019975261452255836
metalaxyl,2,0.04244741045781509,NA,0.035610330349256786,0.04928449056637339,BC4,0.0031877669453440408
metalaxyl,4,0.04043429597110969,NA,0.03353787102749773,0.047330720914721645,BC4,0.0032154362867232848
metalaxyl,7,0.06582717309731383,NA,0.057906327291023255,0.0737480189036044,BC4,0.003693069269270907
metalaxyl,12,0.040379481542722445,NA,0.03678211521273216,0.04397684787271273,BC4,0.0017660697349474888
metalaxyl,14,0.05340214487321722,NA,0.04835314104526223,0.05845114870117221,BC4,0.0023540820429357712
mefenoxam,11,0.04516428278557192,NA,0.04217127290946662,0.04815729266167722,BC4,0.0013854162654839662
mefenoxam,9,0.07710087985763718,NA,0.06725488998939334,0.08694686972588102,BC4,0.004557550785968559
metalaxyl,1,0.060846455716921904,NA,0.05504068401820042,0.06665222741564339,BC4,0.0027069226657490254
metalaxyl,3,0.04428185734868268,NA,0.03978501123029537,0.04877870346706999,BC4,0.002096640259714094
metalaxyl,11,0.04092554191453792,NA,0.035531668755837076,0.046319415073238765,BC4,0.0025148762760819417
metalaxyl,15,0.05184922220149467,NA,0.046186183914145515,0.05751226048884382,BC4,0.0026403736647801226
